what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597519216
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597550945
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1291597573936
closed,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1291597573936
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1291597575052
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1291597585615
closed,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1291597585615
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597603248
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597607123
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1291597618547
error,log,,,"Variable references empty selection: ${project_loc}",1291597618653
error,log,,,"Variable references empty selection: ${project_loc}",1291597624088
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597630698
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597632006
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1291597632051
error,log,,,"Variable references empty selection: ${project_loc}",1291597632111
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597632184
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597636406
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597642510
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597650083
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1291597650127
error,log,,,"Variable references empty selection: ${project_loc}",1291597650171
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597650194
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597663071
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597706755
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597707972
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1291597708014
error,log,,,"Variable references empty selection: ${project_loc}",1291597708060
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597708083
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597716700
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597719143
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597755260
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1291597834886
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597929941
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597982027
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1291597988584
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291597990662
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291598080013
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1291598083964
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291598086459
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291598093576
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1291598096984
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291598097017
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291598100909
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291598113683
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291598116725
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1291598116780
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291598120410
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291598531004
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291598535796
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291598776224
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1291598780702
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1291598787759
opened,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1291598789626
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1291598789738
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1291598802043
opened,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1291598803255
